title,game,day,date,link
LUIBI'S MANSION / blizzcon ceremony / LIRIK PUMPKIN WINNERS,games,Friday,2019-11-01,https://www.twitch.tv/videos/502527591
LUL,games,Wednesday,2019-10-30,https://www.twitch.tv/videos/501664858
,Gears 5
,Just Chatting
,TrackMania² Stadium
,Star Citizen
,Just Chatting
Happy Birthday Me - !carving,games,Tuesday,2019-10-29,https://www.twitch.tv/videos/501239769
,Call of Duty: Modern Warfare
,Star Citizen
,Just Chatting
,Warcraft III: Reforged
,Secret Neighbor
,Just Chatting
:D - !carving,games,Monday,2019-10-28,https://www.twitch.tv/videos/500811422
,Lonely Mountains: Downhill
,Call of Duty: Modern Warfare
,Barbie and the Magic of Pegasus
,Just Chatting
SUB SUNDAY - !carving,games,Sunday,2019-10-27,https://www.twitch.tv/videos/500383057
,Lonely Mountains: Downhill
,Crossroads Inn
,Barbie and the Magic of Pegasus
,Secret Neighbor
Fragging #COD_PARTNER - Watching Carnival Row Tonight - !ca,games,Saturday,2019-10-26,https://www.twitch.tv/videos/499896640
,Just Chatting
Call of Duty Campaign - !carving,games,Friday,2019-10-25,https://www.twitch.tv/videos/499386857
? ~ !carving,games,Wednesday,2019-10-23,https://www.twitch.tv/videos/498482305
,The Outer Worlds
LULs of Madness - !carving,games,Tuesday,2019-10-22,https://www.twitch.tv/videos/498062055
,The Jackbox Party Pack 6
,Just Chatting
,The Jackbox Party Pack 6
,Just Chatting
,The Outer Worlds
hehehaha !carving,games,Monday,2019-10-21,https://www.twitch.tv/videos/497645378
,Star Citizen
SUB SUNDAY - !carving,games,Sunday,2019-10-20,https://www.twitch.tv/videos/497244732
,Disco Elysium
,Chernobylite
,Barbie and the Magic of Pegasus
,Plants vs. Zombies: Battle for Neighborville
,Postal 4: No Regerts
,Star Citizen
,The Jackbox Party Pack 6
:),games,Saturday,2019-10-19,https://www.twitch.tv/videos/496760234
,Little Big Workshop
,Rocket League
,Hand Simulator
,Pacify
,Wreckfest
,Golf It!
